Station: Sion-A廨oport-A9
Rural, motorway
Daily means, O3: Maximum hourly mean of the day, PREC: Daily sums
winter time
Source: NABEL/MeteoSchweiz, provisional data
Date/time;O3 [痢/m設;NO2 [痢/m設;PM10 [痢/m設;NOX [痢/m設;TEMP [蚓];PREC [mm];RAD [W/m淫
01.10.2017;77.3;14.7;5.9;20.2;14.3;0.0;174.4
02.10.2017;32.8;31.2;13.6;66.8;14.7;1.1;75.0
03.10.2017;59.1;27.7;13.7;60.5;14.5;7.8;81.4
04.10.2017;53.1;28.5;12.2;59.5;13.1;0.0;152.0
05.10.2017;71.7;29.5;16.8;75.6;14.4;0.0;184.8
06.10.2017;78.5;17.2;16.2;27.5;13.6;0.3;160.1
07.10.2017;75.3;28.8;8.6;45.0;9.1;0.0;169.7
08.10.2017;72.1;18.1;7.1;23.2;11.5;2.1;144.5
09.10.2017;75.1;26.8;11.8;53.2;13.2;0.0;158.0
10.10.2017;80.2;34.0;14.8;75.7;11.5;0.0;158.7
11.10.2017;66.2;37.8;16.0;67.0;11.9;0.0;167.6
12.10.2017;67.3;44.4;19.1;86.6;12.3;0.0;135.9
13.10.2017;66.1;44.9;17.7;79.5;13.3;0.0;159.7
14.10.2017;71.4;40.5;14.4;68.3;13.6;0.0;158.8
15.10.2017;73.6;35.3;12.6;53.6;13.8;0.0;156.6
16.10.2017;64.7;48.1;21.4;105.2;13.9;0.0;155.0
17.10.2017;63.8;52.5;19.8;99.1;13.2;0.0;151.4
18.10.2017;86.9;52.2;23.7;104.5;12.5;0.0;149.9
19.10.2017;64.7;59.9;26.2;113.9;12.7;0.0;120.1
20.10.2017;70.0;58.4;30.1;114.3;13.1;0.0;110.9
21.10.2017;75.4;38.0;19.8;65.7;14.2;0.2;101.6
22.10.2017;76.7;8.9;4.3;11.8;10.3;0.0;69.2
23.10.2017;67.2;20.8;5.6;29.3;8.7;0.7;65.0
24.10.2017;56.3;39.5;11.9;87.0;9.0;0.0;127.2
25.10.2017;55.6;45.9;20.0;106.9;11.1;0.0;126.6
26.10.2017;51.3;53.0;21.5;123.6;11.6;0.0;123.0
27.10.2017;60.5;44.2;14.9;85.1;10.6;0.0;38.8
28.10.2017;64.2;33.2;10.2;64.2;7.9;0.0;103.6
29.10.2017;60.8;22.2;7.0;28.9;8.0;0.0;47.4
30.10.2017;47.8;29.5;11.6;63.4;8.5;0.0;69.9
31.10.2017;42.5;43.3;25.7;114.6;6.3;0.0;116.7
01.11.2017;57.6;38.7;13.4;70.3;6.1;0.0;108.8
02.11.2017;32.3;62.4;26.3;160.8;6.8;0.0;83.7
03.11.2017;54.5;63.2;22.4;142.3;7.6;0.0;113.5
04.11.2017;63.8;56.0;15.9;90.1;9.9;0.0;84.0
05.11.2017;67.9;23.3;9.0;29.4;8.0;8.4;13.7
06.11.2017;70.3;30.0;8.2;48.5;5.6;0.0;67.0
07.11.2017;46.5;29.0;11.0;55.9;4.9;0.0;94.8
08.11.2017;22.2;33.9;10.2;72.5;5.7;0.3;35.6
09.11.2017;26.6;29.1;10.4;61.4;6.8;0.0;104.4
10.11.2017;33.5;37.7;12.5;68.1;7.0;0.0;49.0
11.11.2017;37.2;35.3;10.7;56.7;7.0;12.6;32.0
12.11.2017;77.2;16.1;6.6;23.5;7.9;13.1;50.9
13.11.2017;75.0;27.8;7.0;45.6;3.3;0.0;38.6
14.11.2017;44.7;45.0;13.6;96.7;1.4;0.0;93.2
15.11.2017;42.8;52.1;18.0;135.4;0.6;0.0;88.7
16.11.2017;32.8;48.9;20.3;142.1;1.2;0.0;84.9
17.11.2017;33.6;49.8;19.9;140.9;1.5;0.0;86.1
18.11.2017;32.0;43.0;19.4;99.3;0.7;0.0;80.3
19.11.2017;51.6;38.0;13.6;65.0;2.6;0.5;48.1
20.11.2017;37.8;61.5;20.1;186.6;1.0;0.0;78.6
21.11.2017;19.8;60.5;25.1;182.6;2.4;0.0;62.8
22.11.2017;30.5;67.2;25.1;192.5;4.0;0.0;74.8
23.11.2017;14.8;70.7;30.3;188.3;4.9;0.0;59.5
24.11.2017;19.6;69.0;31.4;183.6;6.3;0.0;62.8
25.11.2017;63.3;31.7;9.9;59.8;6.8;6.5;21.3
26.11.2017;62.2;19.0;5.9;27.3;2.3;0.0;53.7
27.11.2017;49.9;61.7;19.0;159.1;-0.2;0.0;70.5
28.11.2017;36.2;65.5;23.3;173.9;0.8;0.1;58.6
29.11.2017;59.8;47.2;15.0;107.5;1.7;1.8;25.1
30.11.2017;60.5;42.1;14.6;78.4;0.8;0.0;30.0
01.12.2017;36.5;46.7;17.0;98.2;-0.5;0.0;53.1
02.12.2017;32.2;49.0;19.3;97.1;-1.4;0.0;52.9
03.12.2017;43.3;47.8;21.3;83.6;-1.7;0.0;52.1
04.12.2017;38.0;62.1;31.1;167.4;-1.8;0.0;60.7
05.12.2017;37.0;68.1;25.2;176.4;-0.5;0.0;61.0
06.12.2017;35.6;78.3;40.1;224.7;-1.6;0.0;60.8
07.12.2017;28.8;84.0;35.7;259.6;-1.1;0.0;60.5
08.12.2017;72.2;41.0;10.6;70.9;1.8;9.9;23.8
09.12.2017;73.4;31.1;5.7;47.9;-1.6;0.5;57.6
10.12.2017;39.5;51.0;8.3;78.3;-3.5;45.1;4.6
11.12.2017;44.2;78.4;14.8;214.1;1.8;9.9;19.5
12.12.2017;50.4;61.5;10.0;121.6;1.7;1.3;31.8
13.12.2017;34.5;65.0;10.9;128.3;-0.3;2.3;48.8
14.12.2017;29.5;71.7;16.9;174.6;1.7;0.5;23.5
15.12.2017;82.6;68.2;9.1;130.6;1.8;5.6;55.2
16.12.2017;42.6;52.1;11.5;80.3;0.3;0.8;25.8
17.12.2017;52.5;56.3;10.3;120.8;-1.7;0.6;36.7
18.12.2017;32.1;63.0;11.5;122.9;-4.1;5.8;28.3
19.12.2017;23.0;81.6;19.6;215.7;-5.3;0.0;56.2
20.12.2017;26.0;77.7;18.5;186.9;-0.8;0.0;49.3
