Station: Sion-A廨oport-A9
Rural, motorway
Hourly means, PREC: Hourly sums
winter time
Source: NABEL/MeteoSchweiz, provisional data
Date/time;O3 [痢/m設;NO2 [痢/m設;PM10 [痢/m設;NOX [痢/m設;TEMP [蚓];PREC [mm];RAD [W/m淫
01.10.2017 01:00;71.9;3.3;4.2;3.1;12.6;0.0;0.0
01.10.2017 02:00;71.1;3.7;5.5;3.9;12.6;0.0;0.0
01.10.2017 03:00;77.3;2.6;5.2;2.5;12.4;0.0;0.0
01.10.2017 04:00;69.3;5.0;5.3;5.4;12.4;0.0;0.0
01.10.2017 05:00;67.3;4.5;3.5;4.9;12.1;0.0;0.0
01.10.2017 06:00;57.8;9.7;3.2;11.6;11.9;0.0;0.0
01.10.2017 07:00;45.8;16.1;5.5;19.1;12.2;0.0;7.2
01.10.2017 08:00;50.9;17.0;5.9;21.2;12.4;0.0;64.0
01.10.2017 09:00;58.1;18.7;6.4;28.8;12.9;0.0;259.2
01.10.2017 10:00;61.5;17.5;4.6;30.1;14.4;0.0;479.0
01.10.2017 11:00;62.5;16.3;5.3;28.4;15.8;0.0;598.2
01.10.2017 12:00;63.3;12.3;7.3;21.6;16.8;0.0;677.5
01.10.2017 13:00;66.2;9.9;6.7;16.3;18.0;0.0;699.0
01.10.2017 14:00;70.6;9.6;6.3;14.9;18.9;0.0;518.7
01.10.2017 15:00;69.2;7.2;4.7;9.6;18.5;0.0;412.0
01.10.2017 16:00;64.3;7.2;4.9;8.7;17.6;0.0;249.0
01.10.2017 17:00;64.0;10.7;6.0;13.5;17.2;0.0;184.3
01.10.2017 18:00;62.0;10.6;6.1;12.6;16.3;0.0;37.7
01.10.2017 19:00;38.4;32.4;5.1;44.1;15.1;0.0;0.5
01.10.2017 20:00;25.2;33.5;4.8;43.7;13.4;0.0;0.0
01.10.2017 21:00;14.5;41.3;10.8;56.9;12.5;0.0;0.0
01.10.2017 22:00;16.3;29.6;9.2;39.7;12.3;0.0;0.0
01.10.2017 23:00;17.2;21.7;8.4;26.3;11.7;0.0;0.0
02.10.2017 00:00;17.5;16.9;6.7;22.8;11.8;0.0;0.0
02.10.2017 01:00;17.3;12.3;5.2;13.7;11.6;0.0;0.0
02.10.2017 02:00;17.7;9.3;4.9;9.8;11.6;0.0;0.0
02.10.2017 03:00;14.4;10.5;5.2;12.1;11.8;0.0;0.0
02.10.2017 04:00;11.5;16.3;7.8;23.5;12.1;0.0;0.0
02.10.2017 05:00;6.1;21.4;9.9;30.9;12.3;0.0;0.0
02.10.2017 06:00;0.2;34.6;13.9;90.2;12.3;0.0;0.0
