Station: T鄚ikon
Rural, < 1000 m
Daily means, O3: Maximum hourly mean of the day, PREC: Daily sums
winter time
Source: NABEL/MeteoSchweiz, provisional data
Date/time;O3 [痢/m設;NO2 [痢/m設;PM10 [痢/m設;NOX [痢/m設;TEMP [蚓];PREC [mm];RAD [W/m淫
01.10.2017;71.8;3.6;2.9;4.7;11.2;0.3;108.0
02.10.2017;51.3;8.8;4.2;16.3;13.4;0.0;75.4
03.10.2017;77.5;5.1;3.1;6.1;13.6;17.7;91.3
04.10.2017;48.1;13.0;7.2;20.0;10.2;0.0;126.8
05.10.2017;85.4;7.3;4.6;8.8;14.9;12.8;185.0
06.10.2017;73.5;7.9;4.5;9.2;8.6;9.2;86.9
07.10.2017;75.0;7.1;4.1;8.3;9.4;0.0;156.0
08.10.2017;78.5;4.6;2.4;5.2;10.0;1.3;72.5
09.10.2017;;7.9;4.8;9.3;10.8;1.0;88.6
10.10.2017;72.3;11.0;6.2;19.1;9.7;0.0;140.7
11.10.2017;75.5;11.8;7.6;22.0;11.1;0.0;164.1
12.10.2017;71.5;7.1;7.8;8.2;14.8;0.0;116.6
13.10.2017;69.0;11.5;10.9;19.4;11.8;0.0;158.6
14.10.2017;71.1;10.0;13.4;16.0;11.6;0.0;151.9
15.10.2017;61.1;7.6;12.1;11.4;11.6;0.1;153.8
16.10.2017;59.9;17.7;15.7;28.8;11.8;0.0;154.7
17.10.2017;64.3;17.2;16.5;27.6;11.6;0.0;155.6
18.10.2017;85.4;15.7;15.0;26.1;10.6;0.0;148.4
19.10.2017;70.1;21.1;17.0;31.1;10.3;0.0;116.2
20.10.2017;83.3;19.1;16.1;33.4;12.8;0.0;109.0
21.10.2017;84.7;6.7;11.4;8.0;15.4;6.3;93.6
22.10.2017;83.3;2.7;2.3;3.2;8.6;4.5;65.7
23.10.2017;65.9;7.3;2.9;8.5;7.4;2.8;53.1
24.10.2017;70.1;10.8;4.2;14.1;9.6;0.0;118.6
25.10.2017;60.1;14.2;4.8;23.8;10.9;0.0;124.1
26.10.2017;55.5;16.1;;34.3;11.9;0.0;115.2
27.10.2017;62.2;10.2;7.0;11.5;11.2;7.4;43.0
28.10.2017;66.9;7.4;7.2;9.2;6.8;0.0;94.4
29.10.2017;74.2;4.2;4.4;4.8;8.3;3.3;31.8
30.10.2017;67.7;12.8;8.1;19.4;3.8;0.0;107.6
31.10.2017;54.0;15.5;9.7;22.3;2.7;0.0;103.0
01.11.2017;30.4;19.1;13.2;36.7;4.5;0.0;107.1
02.11.2017;82.9;15.9;9.5;18.8;10.1;0.0;93.8
03.11.2017;78.4;15.8;12.0;20.4;9.8;0.0;93.0
04.11.2017;70.9;12.2;9.8;17.3;9.1;0.0;85.1
05.11.2017;69.8;6.9;6.1;7.4;7.3;27.8;11.0
06.11.2017;61.9;10.4;6.7;12.4;3.5;8.7;11.0
07.11.2017;41.7;14.9;7.1;18.1;5.1;0.6;23.2
08.11.2017;21.2;19.0;6.0;23.0;4.7;0.7;32.3
09.11.2017;7.3;15.8;9.7;29.9;4.7;0.0;19.0
10.11.2017;49.1;14.8;9.3;19.9;5.5;3.9;28.8
11.11.2017;74.6;5.6;4.2;6.4;7.0;14.5;32.0
12.11.2017;77.3;3.4;1.1;3.8;7.2;28.5;21.9
13.11.2017;68.6;11.2;3.9;12.9;2.0;1.1;25.8
14.11.2017;51.8;19.1;8.7;34.1;0.2;0.0;62.9
15.11.2017;28.9;22.7;11.2;28.4;0.8;0.0;33.7
16.11.2017;15.9;27.2;16.8;32.6;0.5;0.0;19.2
17.11.2017;21.4;24.7;19.9;32.7;1.7;0.0;35.1
18.11.2017;52.7;16.4;12.6;18.0;3.5;0.1;17.4
19.11.2017;61.0;8.5;6.6;9.3;2.5;6.4;36.0
20.11.2017;52.6;19.3;7.0;30.6;2.7;0.0;25.0
21.11.2017;66.2;10.1;5.4;11.1;8.5;2.0;49.9
22.11.2017;69.8;15.3;5.7;22.2;7.3;0.0;81.6
23.11.2017;66.5;12.1;5.1;15.9;8.5;0.0;63.3
24.11.2017;69.7;14.5;7.6;19.9;10.4;0.0;66.3
25.11.2017;76.6;7.0;4.3;7.5;5.7;17.1;14.4
26.11.2017;62.6;5.4;3.7;6.0;0.8;2.1;36.5
27.11.2017;72.8;9.7;4.3;11.0;2.9;0.0;67.7
28.11.2017;73.4;9.0;3.2;10.9;3.9;4.0;47.0
29.11.2017;62.1;12.9;5.5;14.8;2.1;0.9;27.4
30.11.2017;57.5;9.8;5.7;13.2;0.3;0.5;32.8
01.12.2017;69.4;18.4;6.4;22.4;-0.9;0.9;55.6
02.12.2017;47.2;13.1;10.0;14.6;-0.4;0.0;14.3
03.12.2017;53.9;12.8;12.0;13.5;-1.1;0.0;38.9
04.12.2017;62.0;13.4;9.4;14.5;0.8;0.8;22.4
05.12.2017;67.4;23.2;10.8;32.0;1.0;0.0;62.0
06.12.2017;30.9;23.0;9.8;25.5;-1.1;0.0;16.0
07.12.2017;68.4;19.3;8.4;25.9;1.3;0.0;62.2
08.12.2017;71.6;7.8;3.2;8.3;2.9;26.1;13.4
09.12.2017;70.8;8.4;3.5;9.4;-2.1;0.8;42.7
10.12.2017;84.2;9.3;2.3;10.5;-1.0;25.9;8.3
11.12.2017;73.8;18.8;3.6;27.3;3.2;4.9;16.8
12.12.2017;65.3;10.5;4.1;11.6;2.0;0.2;22.5
13.12.2017;62.1;18.9;4.3;33.8;-0.1;0.8;56.9
14.12.2017;85.3;6.1;1.1;6.8;3.2;40.6;24.5
15.12.2017;90.8;10.5;2.8;11.9;2.3;6.6;48.8
16.12.2017;56.6;12.2;5.6;13.5;0.9;2.5;17.0
17.12.2017;55.6;10.9;6.7;12.2;-0.2;0.0;34.4
18.12.2017;69.1;17.7;4.9;19.5;-0.4;2.6;24.2
19.12.2017;32.5;29.1;12.7;37.9;0.8;0.0;25.1
20.12.2017;34.2;27.0;17.4;38.1;0.5;0.1;27.5
21.12.2017;58.2;18.3;15.8;22.4;2.3;1.8;52.9
22.12.2017;60.3;11.7;4.4;12.8;4.5;1.8;17.6
23.12.2017;40.2;10.4;7.1;12.1;4.1;0.0;27.1
24.12.2017;44.5;10.3;11.2;11.4;1.2;0.0;35.7
25.12.2017;34.8;13.6;11.9;15.4;-1.2;0.0;37.1
26.12.2017;73.7;14.7;7.0;18.2;0.6;0.0;28.1
27.12.2017;58.8;15.2;7.0;19.1;1.3;4.8;15.9
28.12.2017;60.0;7.7;4.4;8.7;0.2;1.8;31.0
29.12.2017;69.8;8.8;6.1;10.3;-0.7;2.9;57.2
30.12.2017;84.4;4.2;2.3;4.5;5.9;9.5;25.5
31.12.2017;76.4;4.8;5.9;5.5;9.4;0.0;66.2
01.01.2018;88.1;3.4;4.0;3.7;6.0;7.4;49.5
02.01.2018;78.7;3.7;3.4;4.2;3.9;3.4;33.9
03.01.2018;84.0;3.4;3.3;3.7;6.4;16.0;12.9
04.01.2018;87.6;3.1;1.8;3.5;7.7;23.1;14.5
05.01.2018;84.4;5.3;2.1;6.4;9.7;7.5;47.6
06.01.2018;66.4;9.6;7.7;11.4;5.8;0.0;20.6
07.01.2018;37.0;18.1;12.9;22.6;4.3;0.0;21.7
08.01.2018;16.4;20.4;17.9;28.7;3.6;0.0;35.0
09.01.2018;47.5;21.1;17.8;32.7;5.0;0.0;41.5
10.01.2018;40.3;24.2;14.5;45.2;2.5;0.0;63.6
11.01.2018;24.8;25.5;21.4;55.5;2.8;0.0;69.8
12.01.2018;31.2;27.1;23.2;33.3;2.6;0.0;11.5
13.01.2018;45.8;14.4;20.2;17.8;1.1;0.0;32.1
14.01.2018;39.8;14.3;24.5;16.5;-1.2;0.0;37.6
15.01.2018;63.6;17.9;21.8;25.6;0.7;3.0;53.3
16.01.2018;;;;;6.1;19.3;20.6
17.01.2018;;;;;1.9;10.8;29.6
18.01.2018;79.6;4.7;2.1;5.2;4.5;11.3;22.2
19.01.2018;83.1;6.7;2.6;7.3;3.9;10.2;44.2
20.01.2018;82.9;5.0;2.4;5.5;3.1;12.7;43.1
21.01.2018;72.2;6.2;2.7;6.6;3.1;1.6;18.2
22.01.2018;69.7;5.7;1.2;6.3;6.8;26.0;15.5
23.01.2018;70.5;13.9;7.4;16.0;5.0;0.2;30.8
24.01.2018;62.4;16.4;7.6;23.1;6.4;0.0;88.3
25.01.2018;64.3;19.5;11.1;23.4;8.1;0.0;64.5
26.01.2018;44.7;19.9;12.1;27.1;5.1;0.0;54.5
27.01.2018;38.8;14.8;22.8;16.7;6.1;0.0;23.3
28.01.2018;55.2;7.8;12.8;8.6;6.4;0.0;44.7
29.01.2018;58.9;9.6;8.8;11.1;6.6;0.0;98.5
30.01.2018;55.4;11.5;7.8;12.8;6.8;0.0;43.1
31.01.2018;53.9;11.4;13.5;12.9;7.0;0.0;83.5
01.02.2018;73.4;9.0;5.2;9.8;2.7;15.4;26.3
02.02.2018;67.9;12.3;8.1;14.2;1.3;0.0;76.4
03.02.2018;57.8;11.1;9.7;12.3;0.6;0.0;51.7
04.02.2018;66.7;12.1;9.2;14.2;-0.6;0.0;62.7
05.02.2018;43.2;19.7;17.0;23.8;-0.8;0.0;46.2
06.02.2018;38.0;21.0;28.7;28.0;-1.8;0.0;67.7
07.02.2018;18.0;30.2;37.2;40.1;-0.5;1.3;22.7
08.02.2018;26.0;32.7;45.6;40.7;-0.7;0.6;39.0
09.02.2018;35.0;29.3;42.2;40.8;-0.1;0.0;31.1
10.02.2018;59.2;16.7;19.2;18.1;-0.1;0.0;47.0
11.02.2018;65.1;10.2;10.9;10.8;1.2;2.2;45.7
12.02.2018;74.7;10.6;5.5;11.9;0.1;2.5;96.4
13.02.2018;75.1;19.4;10.4;25.4;-3.7;0.0;137.1
14.02.2018;62.9;22.4;19.6;28.8;-4.1;0.0;126.8
15.02.2018;78.3;19.2;13.6;23.0;0.6;5.9;22.6
16.02.2018;82.3;13.5;5.2;15.2;5.2;8.7;48.2
17.02.2018;38.6;17.8;11.4;20.3;2.2;18.8;17.5
18.02.2018;56.4;14.3;22.0;16.6;-0.3;1.0;44.5
19.02.2018;45.9;19.8;34.3;23.9;-0.5;0.0;32.0
20.02.2018;61.8;18.3;29.1;21.2;-1.2;0.0;28.1
21.02.2018;75.7;15.9;37.6;18.1;-1.8;0.1;27.7
22.02.2018;61.4;16.1;39.7;17.8;-2.7;0.0;10.8
23.02.2018;64.2;13.8;35.0;15.7;-2.8;0.0;14.5
24.02.2018;82.5;10.9;32.0;12.1;-2.0;0.0;27.7
25.02.2018;81.5;7.6;20.1;8.7;-6.4;0.0;60.7
26.02.2018;76.5;10.0;25.0;11.8;-9.6;0.0;65.0
27.02.2018;69.2;15.0;35.3;17.9;-9.5;0.0;79.9
28.02.2018;71.7;20.2;41.8;24.8;-8.2;0.0;122.1
01.03.2018;59.6;27.2;44.7;33.0;-6.3;1.0;71.9
02.03.2018;69.5;30.6;48.1;35.1;-4.8;1.5;65.4
03.03.2018;67.8;27.6;23.3;34.9;-1.6;1.3;82.9
04.03.2018;76.0;20.6;17.1;25.4;3.0;0.2;152.7
05.03.2018;86.3;21.3;12.2;27.9;5.0;0.0;156.4
06.03.2018;75.7;16.2;24.2;23.6;4.3;0.3;128.4
07.03.2018;83.3;9.0;5.6;10.2;4.3;4.6;73.6
08.03.2018;91.6;8.9;4.8;10.0;6.1;1.8;188.7
09.03.2018;91.7;8.9;6.9;9.7;9.8;0.0;98.7
10.03.2018;88.4;16.4;14.0;18.6;8.6;1.1;59.6
