Station: T鄚ikon
Rural, < 1000 m
Hourly means, PREC: Hourly sums
winter time
Source: NABEL/MeteoSchweiz, provisional data
Date/time;O3 [痢/m設;NO2 [痢/m設;PM10 [痢/m設;NOX [痢/m設;TEMP [蚓];PREC [mm];RAD [W/m淫
01.10.2017 01:00;71.8;2.3;1.3;2.7;10.8;0.2;1.0
01.10.2017 02:00;67.3;2.4;1.7;2.8;10.9;0.1;1.0
01.10.2017 03:00;66.1;2.3;2.0;2.5;10.7;0.0;1.0
01.10.2017 04:00;58.0;2.3;0.1;2.6;10.6;0.0;1.0
01.10.2017 05:00;58.7;1.5;0.3;1.8;10.4;0.0;1.0
01.10.2017 06:00;60.5;2.0;3.1;2.4;10.3;0.0;1.0
01.10.2017 07:00;49.7;2.3;6.5;2.6;10.3;0.0;4.2
01.10.2017 08:00;49.0;4.1;5.4;4.9;10.6;0.0;75.3
01.10.2017 09:00;55.5;4.2;3.6;5.4;11.2;0.0;204.3
01.10.2017 10:00;61.6;3.2;0.5;4.5;11.9;0.0;272.7
01.10.2017 11:00;63.5;4.3;0.3;6.2;12.2;0.0;195.3
01.10.2017 12:00;66.7;2.4;2.1;3.8;13.4;0.0;536.5
01.10.2017 13:00;64.5;2.5;3.5;3.8;13.9;0.0;357.7
01.10.2017 14:00;65.6;2.8;2.8;4.2;14.0;0.0;300.2
01.10.2017 15:00;69.6;2.5;2.0;3.6;14.4;0.0;309.3
01.10.2017 16:00;68.6;3.0;1.8;4.0;14.3;0.0;197.3
01.10.2017 17:00;60.2;3.2;1.5;4.1;13.8;0.0;95.8
01.10.2017 18:00;40.0;6.0;6.3;8.3;11.8;0.0;30.3
01.10.2017 19:00;17.9;8.2;3.9;11.8;9.9;0.0;1.7
01.10.2017 20:00;20.7;6.4;4.8;8.5;9.3;0.0;1.2
01.10.2017 21:00;17.3;5.1;4.6;6.9;8.4;0.0;1.0
01.10.2017 22:00;16.3;4.2;3.3;5.1;8.6;0.0;1.0
01.10.2017 23:00;14.6;3.5;3.4;4.6;8.2;0.0;1.2
02.10.2017 00:00;12.0;4.6;3.9;5.7;8.0;0.0;1.0
02.10.2017 01:00;11.0;3.4;4.9;4.7;8.7;0.0;1.0
02.10.2017 02:00;9.1;3.9;5.6;4.5;8.8;0.0;1.0
02.10.2017 03:00;6.9;4.0;5.1;4.9;9.0;0.0;1.0
02.10.2017 04:00;5.8;4.9;3.7;6.0;9.4;0.0;1.0
02.10.2017 05:00;2.7;10.3;3.3;22.8;9.6;0.0;1.0
02.10.2017 06:00;1.3;10.9;4.4;31.2;9.5;0.0;1.0
02.10.2017 07:00;0.9;13.7;5.9;51.9;9.3;0.0;14.7
02.10.2017 08:00;2.3;16.4;8.2;69.7;10.3;0.0;89.2
02.10.2017 09:00;19.8;17.4;7.2;47.3;13.1;0.0;135.7
02.10.2017 10:00;49.3;6.2;3.4;8.0;14.6;0.0;129.0
02.10.2017 11:00;50.9;5.6;3.0;7.0;14.5;0.0;180.5
02.10.2017 12:00;50.0;5.7;3.8;7.4;15.0;0.0;229.2
02.10.2017 13:00;50.0;7.0;4.6;10.1;15.7;0.0;328.3
02.10.2017 14:00;51.3;6.0;3.3;7.7;15.9;0.0;225.3
02.10.2017 15:00;46.7;7.5;3.1;9.7;16.2;0.0;241.3
02.10.2017 16:00;37.5;11.6;4.0;14.9;15.8;0.0;124.3
02.10.2017 17:00;37.5;11.7;4.5;14.2;15.9;0.0;82.8
02.10.2017 18:00;37.6;13.1;4.3;14.9;15.6;0.0;16.7
02.10.2017 19:00;39.0;11.0;6.5;12.0;15.8;0.0;1.2
02.10.2017 20:00;38.5;10.1;0.0;10.6;16.1;0.0;1.0
02.10.2017 21:00;37.2;9.7;2.5;10.0;16.0;0.0;1.0
02.10.2017 22:00;35.8;9.0;4.6;9.4;15.8;0.0;1.0
02.10.2017 23:00;37.5;7.1;3.4;7.4;15.8;0.0;1.0
03.10.2017 00:00;38.0;5.3;2.9;5.6;15.9;0.0;1.0
03.10.2017 01:00;38.5;4.2;2.7;4.6;15.3;0.0;1.0
03.10.2017 02:00;37.8;3.7;3.7;4.0;15.3;0.0;1.0
03.10.2017 03:00;37.1;3.1;4.5;3.4;15.5;0.0;0.8
03.10.2017 04:00;37.4;2.4;3.8;2.6;15.9;0.0;0.8
03.10.2017 05:00;34.8;3.1;3.9;3.9;16.0;0.0;1.0
03.10.2017 06:00;32.8;4.5;4.3;5.8;15.9;0.2;1.2
03.10.2017 07:00;29.8;5.1;4.3;6.4;16.0;0.1;2.8
03.10.2017 08:00;32.8;4.7;1.9;5.7;15.8;1.7;15.2
03.10.2017 09:00;77.5;4.5;0.0;4.7;12.4;14.7;6.2
03.10.2017 10:00;69.6;5.2;1.9;6.1;12.7;0.9;77.2
03.10.2017 11:00;63.0;4.6;2.1;5.5;12.9;0.1;101.5
03.10.2017 12:00;65.9;3.1;1.5;4.1;13.4;0.0;194.3
03.10.2017 13:00;65.5;2.5;0.6;3.4;13.9;0.0;266.2
03.10.2017 14:00;64.4;3.0;1.1;4.2;14.1;0.0;296.7
03.10.2017 15:00;73.7;2.7;1.5;3.6;15.6;0.0;538.5
03.10.2017 16:00;72.3;4.5;1.1;6.0;16.0;0.0;417.3
03.10.2017 17:00;72.5;3.3;3.3;4.3;15.5;0.0;213.8
03.10.2017 18:00;50.7;8.9;4.8;10.0;13.6;0.0;48.3
03.10.2017 19:00;31.7;12.0;4.3;14.3;11.4;0.0;2.0
03.10.2017 20:00;26.4;10.3;4.2;12.2;10.7;0.0;1.3
03.10.2017 21:00;27.3;8.0;5.4;9.5;8.9;0.0;1.5
03.10.2017 22:00;31.0;6.6;5.4;7.9;9.4;0.0;1.0
03.10.2017 23:00;29.8;7.0;4.7;7.7;9.6;0.0;1.0
04.10.2017 00:00;30.3;5.0;3.5;5.7;9.7;0.0;1.2
04.10.2017 01:00;23.4;5.5;6.9;6.2;8.1;0.0;1.5
04.10.2017 02:00;27.2;4.1;7.1;4.4;6.7;0.0;1.2
04.10.2017 03:00;23.6;5.7;7.0;6.1;6.3;0.0;1.2
04.10.2017 04:00;22.7;5.1;3.5;6.0;5.7;0.0;1.0
04.10.2017 05:00;15.6;9.9;2.7;13.9;5.8;0.0;1.0
